'2019-07-19T00:06:23.281': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'f8 69 ff ff', 'mov': '76 ff 24 01 a0 00 53 00 19 00 dd f7 15 02 82 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:28.985': {'opt': '00 00', 'bar': '1f 0b 00 93 8a 01', 'temp': '40 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '73 ff 1a 01 a7 00 58 00 1d 00 ee f7 0c 02 7d ff eb fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:34.689': {'opt': '00 00', 'bar': '1d 0b 00 8e 8a 01', 'temp': '38 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '5f ff 07 01 b8 00 55 00 17 00 f3 f7 0d 02 88 ff e5 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:40.392': {'opt': '00 00', 'bar': '1e 0b 00 91 8a 01', 'temp': '60 0c 18 0e', 'hum': 'ec 69 ff ff', 'mov': '62 ff 1f 01 c5 00 58 00 12 00 e9 f7 10 02 82 ff df fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:46.096': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '38 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '80 ff 32 01 b1 00 53 00 18 00 ec f7 03 02 86 ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:51.800': {'opt': '00 00', 'bar': '1d 0b 00 90 8a 01', 'temp': '4c 0c 18 0e', 'hum': '00 00 ff ff', 'mov': '4b ff 13 01 9e 00 4f 00 19 00 f0 f7 1b 02 86 ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:06:57.504': {'opt': '00 00', 'bar': '1e 0b 00 93 8a 01', 'temp': '38 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '86 ff 15 01 a3 00 52 00 16 00 eb f7 0b 02 83 ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:03.208': {'opt': '00 00', 'bar': '1e 0b 00 90 8a 01', 'temp': '4c 0c 18 0e', 'hum': 'f4 69 10 60', 'mov': '5c ff 09 01 b1 00 56 00 1a 00 ea f7 13 02 84 ff e8 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:08.960': {'opt': '00 00', 'bar': '1d 0b 00 92 8a 01', 'temp': '48 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '84 ff 10 01 af 00 59 00 16 00 f1 f7 16 02 7c ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-19T00:07:14.669': {'opt': '00 00', 'bar': '1d 0b 00 8f 8a 01', 'temp': '50 0c 18 0e', 'hum': 'f4 69 50 60', 'mov': '26 ff 0f 01 b8 00 4b 00 11 00 eb f7 0d 02 8a ff ec fe', 'MAC': '54:6C:0E:53:00:97'}
