'2019-07-18T17:37:03.068': {'opt': '50 00', 'bar': '29 0a 00 4b 89 01', 'temp': 'e8 0a e4 0c', 'hum': '40 66 3c 60', 'mov': 'ba ff 22 01 b1 00 5f 00 19 00 e4 f7 c5 01 88 ff e9 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:08.771': {'opt': '50 00', 'bar': '29 0a 00 4a 89 01', 'temp': '08 0b e4 0c', 'hum': '38 66 3c 60', 'mov': 'a8 ff 14 01 c5 00 60 00 03 00 e7 f7 d1 01 8a ff e3 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:14.475': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'fc 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'bc ff 12 01 d0 00 56 00 15 00 e9 f7 d3 01 93 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:20.177': {'opt': '50 00', 'bar': '28 0a 00 46 89 01', 'temp': '0c 0b e4 0c', 'hum': '38 66 3c 60', 'mov': '82 ff 3d 01 c5 00 5e 00 1d 00 ee f7 cb 01 95 ff f1 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:25.883': {'opt': '50 00', 'bar': '28 0a 00 41 89 01', 'temp': 'd4 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'ad ff 33 01 b6 00 55 00 17 00 eb f7 bf 01 97 ff ef fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:31.587': {'opt': '50 00', 'bar': '29 0a 00 47 89 01', 'temp': 'f4 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'b6 ff 37 01 be 00 4e 00 13 00 ec f7 be 01 8d ff f0 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:37.291': {'opt': '50 00', 'bar': '27 0a 00 3f 89 01', 'temp': 'e0 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'a6 ff 2e 01 cc 00 62 00 1c 00 f4 f7 c1 01 91 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:42.995': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'e8 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'a3 ff 3a 01 c2 00 52 00 12 00 e3 f7 ce 01 97 ff f4 fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:48.697': {'opt': '50 00', 'bar': '28 0a 00 40 89 01', 'temp': 'e0 0a e4 0c', 'hum': '38 66 3c 60', 'mov': 'a6 ff 0a 01 ab 00 5d 00 11 00 e6 f7 ba 01 83 ff ee fe', 'MAC': '54:6C:0E:53:00:97'}
'2019-07-18T17:37:54.402': {'opt': '50 00', 'bar': '27 0a 00 41 89 01', 'temp': '00 0b e4 0c', 'hum': '34 66 3c 60', 'mov': '98 ff 39 01 b3 00 57 00 19 00 f5 f7 cf 01 88 ff e0 fe', 'MAC': '54:6C:0E:53:00:97'}
